,SRX10470966,SRX10470967,SRX10470968,SRX10470969,SRX10470970,SRX10470971,SRX10470972,SRX10470973,SRX10470974,SRX10470975,SRX10470976,SRX10470977,SRX10470978,SRX10470979,SRX10470980,SRX10470981,SRX10470982,SRX10470983,SRX10470984,SRX10470985,SRX10470986,SRX10470987,SRX10470988,SRX10470989,SRX10470990,SRX10470991,SRX10470992,SRX10470993,SRX10470994,SRX10470995,SRX10470996,SRX10470997,SRX10470998,SRX10470999,SRX10471000,SRX10471001,SRX10471002,SRX10471003,SRX10471004,SRX10471005,SRX10471006,SRX10471007,SRX10471008,SRX10471009,SRX10471010,SRX10471011,SRX10471012,SRX10471013,SRX10471014,SRX10471015,SRX10471016,SRX10471017,SRX10471018,SRX10471019
2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2474,1.80661859015266,2.62961994081761,0,0,0,0.899995498938728,0,0,0,0,0,0,2.81182058009628,1.21088559634316,0,0,0,0,1.02239568179542,0.958710443694007,0,0,0,0,0,0.886581760591582,1.85448933591648,0,0,5.27318107874232,1.07703276613234,1.43407603414644,0,0,0,1.12182576823647,0,1.57144713460744,1.66562352253455,28.8387572736359,0,0,0,0,1.56209250666957,0,0.824063590163226,13.0109929952724,5.57878217807093,0,0,0,0,0
2476,0.903309295076332,0,0,0,0,0,0,0,0,0.902166122317409,0,1.32603040223577,0.937273526698761,0,0,0,1.11610378782857,0,0,0,0,0,0,0,1.08340074459836,0,0,0,0,0,0,0,0,0,0,2.24365153647295,0,0,0,0,0,0,0,0,0,0,1.64812718032645,0,0,0,0,0,0,0
2477,1.80661859015266,1.75307996054507,2.08613771222035,0,4.23590822268238,1.79999099787746,0,2.04481890276149,2.73081837972721,6.31516285622187,1.99865155693423,7.29316721229671,13.1218293737827,2.42177119268632,10.9960085430456,4.32571451766568,6.69662272697142,7.61053485646406,11.2463524997496,8.62839399324606,5.06429331077513,5.15353934713713,28.1363286374566,1.22802413238947,0,4.43290880295791,2.78173400387471,9.21088446822238,0.942897354152491,0,12.9243931935881,2.86815206829288,6.72755208858714,0.819310587695601,0.989404235784912,10.0964319141283,1.21864658477113,2.35717070191115,4.16405880633637,0,3.77238473024665,0.972523513890737,0,4.6766603289873,0,0,0,4.06593531102264,0.796968882581562,3.9102008962244,2.78790819765212,8.85040341471617,3.29036882596993,7.26939984678351
2480,0,0,0,0,0,0,0.907096792539785,0,0,0,0,0,0,0,1.09960085430456,0,0,0,0,0,0.844048885129189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02239568179542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2487,0,0.876539980272536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961078869798163,0,0,0,0,0,0,0,0,0,0,0,0,2.14027944313237,0,0,0,0,0,0,0,0
2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
