,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1566,0,0,0,0,0,0,0,0
1568,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0
1574,0,0,0,0,0,0,0,0
1575,0,0,0,0,0,0,0,0
1576,0,0,0,0,0,0,0,0
1577,0,0,2.37891471506631,0,0,0,0,0
1579,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,0
1584,0,0,0,0,0,0,0,0
1588,0,0,0,0,0,0,0,0
1589,0,0,0,0,0,0,1.05150193874993,0
1590,0,0,0,0,0,0,0,0
1591,0,0,0,0,0,0,0,0
1592,0,0,0,0,0,0,0,0
1593,0,0,0,0,0,0,0,0.840047247244072
1594,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0
1596,0,0,0,0,0,0,0,0
1598,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0
1601,0,0,0,0,0,0,0,0
1602,0,0,0,0,0,0,0,0
1603,0,0,0,0,0,0,0,0
1605,0,0,0,0,0,0,0,0
1606,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0
1613,0,0,0,0,0,0,0,0
1615,0,0,0,0,0,0,0,0
1617,0,0,0,0,0,0,0,0
1619,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0
1621,0,0,0,0,0,0,0,0
1622,1.17727881798902,0,0,0,0,0.945031043556156,0,0
1624,0,0,0,0,0,0,0,0
1627,0,0,0,0,0,0,0,0
1629,0,0,0,0,0,0,0,0
1632,0,0,0,0,0,0,0,0
1637,0,0,0,2.306120072418,0,0,1.05150193874993,0.840047247244072
1638,4.70911527195607,6.07436474865768,0,0.768706690806,0.922507856945936,0,1.05150193874993,1.68009449448814
1639,0,0,0,0,1.84501571389187,0,0,0.840047247244072
1641,0,0,0,0,0,0,0,0
1643,8.24095172592313,3.03718237432884,3.56837207259946,1.537413381612,2.76752357083781,0,0,0.840047247244072
1645,0,0,0,0,0,0,1.05150193874993,0
1646,1.17727881798902,0,1.18945735753315,0,0,0.945031043556156,1.05150193874993,0.840047247244072
1647,0,0,2.37891471506631,0,0,0,0,0
1648,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0
1653,0,0,1.18945735753315,0,0.922507856945936,0,0,0
1654,0,0,7.13674414519892,3.84353345403,0,2.83509313066847,6.30901163249959,1.68009449448814
1658,0,0,0,0,0,0,0,0
1659,0,0,0,0,0,0,0,0
1661,0,0,0,0,0,0,0,0
1662,0,0,0,0,0,0,0,0
1663,0,0,0,0,0,0,0,0
1664,0,0,0,0,0,0,1.05150193874993,0
1665,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0
1669,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0
1676,0,0,0,0.768706690806,0,0,0,0
1678,0,0,0,0,0,0,0,0
1679,0,1.01239412477628,0,0.768706690806,0.922507856945936,1.89006208711231,1.05150193874993,0.840047247244072
1680,0,0,0,0,0,0,0,0
