erv,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1832,0,0,0,0,0,0,0,0
1834,0,0,0,0,0,0,0,0
1841,0,0,0,1,0,0,0,0
1842,0,0,0,0,1,2,0,0
1844,0,0,0,0,0,0,0,0
1846,0,0,0,0,0,0,0,0
1847,0,0,0,0,0,0,0,0
1849,0,0,0,0,0,0,0,0
1850,1,1,0,0,0,1,0,0
1852,0,0,0,0,0,0,0,0
1855,1,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0
1866,0,0,0,0,0,0,0,0
1870,29,6,324,24,2,4,2,0
1872,0,0,0,0,1,0,0,0
1874,12,2,109,7,21,9,29,20
1875,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,1
1878,16,22,8,33,11,12,18,23
1879,8,7,13,11,15,4,7,4
1881,0,0,0,0,0,0,0,0
1882,1,0,0,0,0,1,10,0
1884,0,0,0,0,0,0,0,0
1885,6,12,4,9,3,18,9,7
1889,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,0,0,0
1892,0,5,0,2,0,0,2,3
1894,0,0,0,0,0,1,0,0
1896,0,0,0,0,0,0,2,0
1899,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,1,0
1908,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,1
1914,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0
1921,0,0,4,0,2,0,3,0
1922,0,1,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0
1932,0,1,0,0,0,1,0,0
1936,0,0,1,2,0,0,0,0
1937,0,0,0,0,0,0,0,0
1939,0,1,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0
1945,64,59,11,63,54,28,38,48
1946,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0
1960,1,0,0,0,1,0,0,0
1961,0,0,0,0,0,0,0,0
1962,1,0,2,1,1,2,0,0
1964,0,0,0,0,0,0,0,0
1968,0,1,0,1,0,0,0,0
1972,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,1,0
1975,0,0,0,1,0,0,0,0
1976,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0
1981,0,0,0,1,0,0,0,1
1982,9,0,5,11,1,4,10,8
1988,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,1,0
1994,0,0,0,0,0,0,0,0
1995,0,0,1,0,0,0,0,0
1997,0,0,0,1,0,0,0,0
1999,1,0,0,0,0,0,0,0
2000,0,0,4,4,1,0,0,0
2003,1,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,1,0,0,0,0
2015,1,2,0,0,2,0,0,0
2017,0,0,0,0,0,0,0,0
2019,0,1,8,0,1,4,13,4
2022,1,0,0,2,2,1,3,2
2026,0,0,0,0,0,0,0,0
2029,0,4,0,0,0,0,0,0
2030,2,3,2,7,5,3,2,6
2031,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,1,0
2035,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2039,0,0,2,2,0,0,0,0
2042,1,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,1,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0
2055,3,2,3,3,1,3,8,2
2059,0,0,0,0,0,0,2,0
2061,0,0,0,1,0,0,0,0
2063,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0
2065,0,1,0,0,0,0,1,1
2070,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0
2076,1,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0
2078,1,2,1,5,0,4,11,1
2080,1,0,2,0,2,0,4,2
